,speciesKey,name_author,Name,Tribe,BrassiBase_status,Trait_state,Sampled?,gbif_records,gbif_records_w_coordinates,gbif_records_w_coordinates_and_uncertainty,gbif_records_w_coordinates_and_uncertainty_under_1000m,gbif_records_w_coordinates_and_uncertainty_under_500m,gbif_records_w_coordinates_and_uncertainty_under_100m,gbif_records_wo_coordinates_but_w_locality,gbif_records_bin,gbif_records_w_coordinates_bin,gbif_records_w_coordinates_and_uncertainty_bin,gbif_records_w_coordinates_and_uncertainty_under_1000m_bin,gbif_records_w_coordinates_and_uncertainty_under_500m_bin,gbif_records_w_coordinates_and_uncertainty_under_100m_bin
1427,3048625,Erysimum goniocaulon Boiss.,Erysimum goniocaulon,Erysimeae,accepted,H,N,212,66,2,2,2,2,146,>=100,>=10,<10,<10,<10,<10
1314,3048280,Erysimum graecum Boiss. & Heldr.,Erysimum graecum,Erysimeae,accepted,H,N,330,150,5,5,5,5,180,>=100,>=100,<10,<10,<10,<10
3585,7536179,Erysimum grandiflorum (Boiss. & Heldr.) Walp.,Erysimum grandiflorum,Erysimeae,accepted,H,N,109,61,9,7,6,6,48,>=100,>=10,<10,<10,<10,<10
1324,3048309,Erysimum griffithianum Boiss.,Erysimum griffithianum,Erysimeae,accepted,H,N,240,55,44,6,2,0,185,>=100,>=10,>=10,<10,<10,0
1276,3048174,Erysimum griffithii (Hook.f. & Thomson) Jafri,Erysimum griffithii,Erysimeae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
1267,3048158,Erysimum grubovii Botsch.,Erysimum grubovii,Erysimeae,not accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
2495,3693787,Erysimum guneri Yıld.,Erysimum guneri,Erysimeae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
1257,3048134,Erysimum gypsaceum Botsch. & Vved.,Erysimum gypsaceum,Erysimeae,accepted,H,N,12,0,0,0,0,0,12,>=10,0,0,0,0,0
2494,3693781,Erysimum hajastanicum Wissjul. & Bordz.,Erysimum hajastanicum,Erysimeae,accepted,H,N,154,138,6,6,6,5,16,>=100,>=100,<10,<10,<10,<10
1247,3048122,Erysimum hakkiaricum Cullen,Erysimum hakkiaricum,Erysimeae,accepted,H,N,7,0,0,0,0,0,7,<10,0,0,0,0,0
1237,3048104,Erysimum handel-mazzettii Polatschek,Erysimum handel-mazzettii,Erysimeae,accepted,H,N,26,10,1,1,1,1,16,>=10,>=10,<10,<10,<10,<10
1227,3048063,Erysimum hedgeanum Al-Shehbaz,Erysimum hedgeanum,Erysimeae,accepted,H,N,10,0,0,0,0,0,10,>=10,0,0,0,0,0
3890,10779766,Erysimum hezarense Moazzeni,Erysimum hezarense,Erysimeae,accepted,H,N,3,3,1,1,1,1,0,<10,<10,<10,<10,<10,<10
1441,3048660,Erysimum hirschfeldioides Boiss. & Hausskn.,Erysimum hirschfeldioides,Erysimeae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
1430,3048631,Erysimum horizontale P. Candargy,Erysimum horizontale,Erysimeae,accepted,H,N,20,7,1,1,1,1,13,>=10,<10,<10,<10,<10,<10
1403,3048528,Erysimum huber-morathii Polatschek,Erysimum huber-morathii,Erysimeae,accepted,H,N,4,1,0,0,0,0,3,<10,<10,0,0,0,0
1387,3048474,Erysimum hungaricum Zapał.,Erysimum hungaricum,Erysimeae,accepted,H,N,67,32,12,11,8,4,35,>=10,>=10,>=10,>=10,<10,<10
1370,3048437,Erysimum idae Polatschek,Erysimum idae,Erysimeae,accepted,H,N,16,3,0,0,0,0,13,>=10,<10,0,0,0,0
2482,3693558,Erysimum ikizdereense Yıld.,Erysimum ikizdereense,Erysimeae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
1359,3048385,Erysimum incanum Kunze,Erysimum incanum,Erysimeae,accepted,H,N,1241,680,534,226,16,10,561,>=1000,>=500,>=500,>=100,>=10,>=10
1320,3048294,Erysimum inconspicuum (S. Watson) MacMill.,Erysimum inconspicuum,Erysimeae,accepted,H,Y,1715,917,405,108,60,30,798,>=1000,>=500,>=100,>=100,>=10,>=10
1302,3048253,Erysimum inense N. Busch,Erysimum inense,Erysimeae,accepted,H,N,25,20,16,15,13,0,5,>=10,>=10,>=10,>=10,>=10,0
3887,10777068,Erysimum insubricum Peccenini & Polatschek,Erysimum insubricum,Erysimeae,accepted,H,N,64,33,32,0,0,0,31,>=10,>=10,>=10,0,0,0
1292,3048229,Erysimum insulare Greene,Erysimum insulare,Erysimeae,accepted,W,Y,113,11,9,1,1,1,102,>=100,>=10,<10,<10,<10,<10
2479,3693488,Erysimum iraqense Polatschek,Erysimum iraqense,Erysimeae,accepted,H,N,15,1,0,0,0,0,14,>=10,<10,0,0,0,0
1284,3048212,Erysimum ischnostylum Freyn & Sint.,Erysimum ischnostylum,Erysimeae,accepted,H,N,85,32,12,0,0,0,53,>=10,>=10,>=10,0,0,0
2478,3693473,Erysimum jacquemoudii Yıld.,Erysimum jacquemoudii,Erysimeae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
1273,3048170,Erysimum jodonyx Botsch. & Vved.,Erysimum jodonyx,Erysimeae,not accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
1263,3048148,Erysimum jugicola Jord.,Erysimum jugicola,Erysimeae,accepted,H,N,1025,664,599,27,24,14,361,>=1000,>=500,>=500,>=10,>=10,>=10
3866,10751453,Erysimum kamelinii D.A. German,Erysimum kamelinii,Erysimeae,accepted,H,N,22,2,1,1,1,1,20,>=10,<10,<10,<10,<10,<10
2477,3693436,Erysimum kartalkayaense Yıld.,Erysimum kartalkayaense,Erysimeae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
1253,3048130,Erysimum kazachstanicum Botsch.,Erysimum kazachstanicum,Erysimeae,accepted,H,N,6,2,1,1,0,0,0,<10,<10,<10,<10,0,0
1244,3048117,Erysimum kerbabaevii Kurbanov & Gudkova,Erysimum kerbabaevii,Erysimeae,accepted,H,N,8,0,0,0,0,0,8,<10,0,0,0,0,0
2476,3693425,Erysimum ketenoglui Yıld.,Erysimum ketenoglui,Erysimeae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
1235,3048102,Erysimum koelzii Polatschek & Rech.f.,Erysimum koelzii,Erysimeae,accepted,H,N,2,0,0,0,0,0,2,<10,0,0,0,0,0
4150,11317472,Erysimum korabense Kümmerle & Jáv.,Erysimum korabense,Erysimeae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
2475,3693398,Erysimum kostkae Polatschek,Erysimum kostkae,Erysimeae,accepted,H,N,12,1,0,0,0,0,11,>=10,<10,0,0,0,0
1437,3048646,Erysimum kotschyanum J. Gay,Erysimum kotschyanum,Erysimeae,accepted,H,N,127,13,2,2,2,0,114,>=100,>=10,<10,<10,<10,0
1293,3048232,Erysimum kotuchovii D.A. German,Erysimum kotuchovii,Erysimeae,accepted,H,N,1,1,0,0,0,0,0,<10,<10,0,0,0,0
1421,3048618,Erysimum krendlii Polatschek,Erysimum krendlii,Erysimeae,accepted,H,N,17,8,1,1,1,1,9,>=10,<10,<10,<10,<10,<10
1408,3048538,Erysimum krynitzkii Bordz.,Erysimum krynitzkii,Erysimeae,not accepted,H,N,10,1,1,1,0,0,9,>=10,<10,<10,<10,0,0
1400,3048523,Erysimum krynkense Lavrenko,Erysimum krynkense,Erysimeae,accepted,H,N,14,10,10,10,0,0,0,>=10,>=10,>=10,>=10,0,0
1392,3048494,Erysimum kuemmerlei Jáv.,Erysimum kuemmerlei,Erysimeae,accepted,H,N,34,24,2,0,0,0,10,>=10,>=10,<10,0,0,0
1384,3048462,Erysimum kurdicum Boiss. & Hausskn.,Erysimum kurdicum,Erysimeae,accepted,H,N,21,6,0,0,0,0,15,>=10,<10,0,0,0,0
2474,3693370,Erysimum kykkoticum Hadjik. & Alziar,Erysimum kykkoticum,Erysimeae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
1377,3048448,Erysimum lagascae Rivas Goday & Bellot,Erysimum lagascae,Erysimeae,accepted,H,N,189,139,96,64,4,4,50,>=100,>=100,>=10,>=10,<10,<10
1367,3048421,Erysimum laxiflorum J. Gay,Erysimum laxiflorum,Erysimeae,accepted,H,N,37,11,2,0,0,0,26,>=10,>=10,<10,0,0,0
1385,3048463,Erysimum lazistanicum (Rupr.) Lipsky,Erysimum lazistanicum,Erysimeae,accepted,H,N,285,41,3,3,1,1,244,>=100,>=10,<10,<10,<10,<10
2471,3693295,Erysimum ledebourii D.A. German,Erysimum ledebourii,Erysimeae,accepted,H,N,10,2,2,1,1,0,8,>=10,<10,<10,<10,<10,0
1343,3048354,Erysimum leptocarpum J. Gay,Erysimum leptocarpum,Erysimeae,accepted,H,N,39,7,0,0,0,0,32,>=10,<10,0,0,0,0
1335,3048329,Erysimum leptophyllum (M. Bieb.) Andrz.,Erysimum leptophyllum,Erysimeae,accepted,H,N,108,25,2,1,1,1,83,>=100,>=10,<10,<10,<10,<10
1326,3048314,Erysimum leptostylum DC.,Erysimum leptostylum,Erysimeae,accepted,H,N,77,31,21,12,3,2,46,>=10,>=10,>=10,>=10,<10,<10
1308,3048261,Erysimum leucanthemum (Stephan ex Willd.) B. Fedtsch.,Erysimum leucanthemum,Erysimeae,accepted,H,N,259,93,59,20,13,6,166,>=100,>=10,>=10,>=10,>=10,<10
3856,10739721,Erysimum ligusticum Peccenini & Polatschek,Erysimum ligusticum,Erysimeae,accepted,H,N,29,14,5,5,5,5,15,>=10,>=10,<10,<10,<10,<10
1301,3048252,Erysimum lilacinum Steinb.,Erysimum lilacinum,Erysimeae,accepted,H,N,24,13,3,2,2,2,11,>=10,>=10,<10,<10,<10,<10
1290,3048223,Erysimum linariifolium Tausch,Erysimum linariifolium,Erysimeae,accepted,H,N,55,16,3,3,2,0,39,>=10,>=10,<10,<10,<10,0
1281,3048198,Erysimum linifolium (Pers.) J. Gay,Erysimum linifolium,Erysimeae,accepted,H,Y,2718,2151,1909,1725,1623,1617,567,>=1000,>=1000,>=1000,>=1000,>=1000,>=1000
1270,3048162,Erysimum lycaonicum (Hand.-Mazz.) Hub.-Mor.,Erysimum lycaonicum,Erysimeae,accepted,H,N,7,0,0,0,0,0,7,<10,0,0,0,0,0
1260,3048137,Erysimum macilentum Bunge,Erysimum macilentum,Erysimeae,accepted,H,N,222,106,5,5,5,2,116,>=100,>=100,<10,<10,<10,<10
1241,3048111,Erysimum macrospermum Cullen & Rech.f.,Erysimum macrospermum,Erysimeae,accepted,H,N,9,4,0,0,0,0,5,<10,<10,0,0,0,0
1233,3048100,Erysimum macrostigma Boiss.,Erysimum macrostigma,Erysimeae,accepted,H,N,27,3,1,1,1,1,24,>=10,<10,<10,<10,<10,<10
1225,3048057,Erysimum maderense Polatschek,Erysimum maderense,Erysimeae,accepted,W,Y,52,13,8,5,4,1,39,>=10,>=10,<10,<10,<10,<10
1445,3048668,Erysimum majellense Polatschek,Erysimum majellense,Erysimeae,accepted,H,Y,48,13,1,1,1,1,35,>=10,>=10,<10,<10,<10,<10
3816,10686776,Erysimum maremmanum Peccenini & Polatschek,Erysimum maremmanum,Erysimeae,accepted,H,N,120,114,45,45,45,44,6,>=100,>=100,>=10,>=10,>=10,>=10
1418,3048613,Erysimum marschallianum Andrz. ex M. Bieb.,Erysimum marschallianum,Erysimeae,accepted,H,N,880,640,484,105,90,45,240,>=500,>=500,>=100,>=100,>=10,>=10
1405,3048532,Erysimum marshallii Bois,Erysimum marshallii,Erysimeae,accepted,H,N,47,31,15,10,10,10,16,>=10,>=10,>=10,>=10,>=10,>=10
1397,3048514,Erysimum melicentae Dunn,Erysimum melicentae,Erysimeae,accepted,H,N,180,116,109,2,2,0,64,>=100,>=100,>=100,<10,<10,0
1389,3048483,Erysimum menziesii (Hook.) Wettst.,Erysimum menziesii,Erysimeae,accepted,H,N,451,241,224,0,0,0,210,>=100,>=100,>=100,0,0,0
1375,3048446,Erysimum metlesicsii Polatschek,Erysimum metlesicsii,Erysimeae,accepted,H,N,45,15,4,4,4,4,30,>=10,>=10,<10,<10,<10,<10
1365,3048409,Erysimum meyerianum (Rupr.) N. Busch,Erysimum meyerianum,Erysimeae,accepted,H,N,8,5,3,2,2,0,3,<10,<10,<10,<10,<10,0
1356,3048382,Erysimum michaelis Adylov,Erysimum michaelis,Erysimeae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
1250,3048125,Erysimum microtrichon Botsch. & Vved.,Erysimum microtrichon,Erysimeae,not accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
1349,3048371,Erysimum moesiacum Velen.,Erysimum moesiacum,Erysimeae,not accepted,H,N,9,0,0,0,0,0,9,<10,0,0,0,0,0
1310,3048274,Erysimum mongolicum D.A. German,Erysimum mongolicum,Erysimeae,accepted,H,N,6,0,0,0,0,0,6,<10,0,0,0,0,0
1331,3048324,Erysimum montosicola Jord.,Erysimum montosicola,Erysimeae,accepted,H,N,958,745,637,1,1,1,213,>=500,>=500,>=500,<10,<10,<10
1315,3048281,Erysimum moranii Rollins,Erysimum moranii,Erysimeae,accepted,W,Y,35,16,14,13,13,13,19,>=10,>=10,>=10,>=10,>=10,>=10
2464,3692953,Erysimum munzuriense Polatschek,Erysimum munzuriense,Erysimeae,accepted,H,N,5,0,0,0,0,0,5,<10,0,0,0,0,0
1304,3048255,Erysimum mutabile Boiss. & Heldr.,Erysimum mutabile,Erysimeae,accepted,H,N,51,11,4,3,1,1,40,>=10,>=10,<10,<10,<10,<10
1297,3048246,Erysimum myriophyllum Lange,Erysimum myriophyllum,Erysimeae,accepted,H,N,345,183,146,44,12,11,162,>=100,>=100,>=100,>=10,>=10,>=10
1277,3048177,Erysimum nabievii Adylov,Erysimum nabievii,Erysimeae,accepted,H,N,7,0,0,0,0,0,7,<10,0,0,0,0,0
1268,3048159,Erysimum nanum Boiss. & Hohen.,Erysimum nanum,Erysimeae,not accepted,H,N,11,1,0,0,0,0,10,>=10,<10,0,0,0,0
1258,3048135,Erysimum nasturtioides Boiss. & Hausskn.,Erysimum nasturtioides,Erysimeae,accepted,H,N,16,7,2,1,1,1,9,>=10,<10,<10,<10,<10,<10
1248,3048123,Erysimum naxense Snogerup,Erysimum naxense,Erysimeae,accepted,W,Y,70,55,0,0,0,0,15,>=10,>=10,0,0,0,0
3876,10765445,Erysimum nemrutdaghense Mutlu,Erysimum nemrutdaghense,Erysimeae,unresolved,H,N,4,0,0,0,0,0,0,<10,0,0,0,0,0
1371,3048438,Erysimum nuratense Popov ex Botsch. & Vved.,Erysimum nuratense,Erysimeae,not accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
1361,3048396,Erysimum nuristanicum Polatschek & Rech.f.,Erysimum nuristanicum,Erysimeae,accepted,H,N,6,1,0,0,0,0,5,<10,<10,0,0,0,0
1353,3048375,Erysimum occidentale (S. Watson) B.L. Rob.,Erysimum occidentale,Erysimeae,accepted,H,N,137,57,18,10,10,2,80,>=100,>=10,>=10,>=10,>=10,<10
1396,3048503,Erysimum ochroleucum (Haller f. ex Schleich.) DC.,Erysimum ochroleucum,Erysimeae,accepted,H,N,3721,2509,2161,44,8,7,1212,>=1000,>=1000,>=1000,>=10,<10,<10
1345,3048357,Erysimum odoratum Ehrh.,Erysimum odoratum,Erysimeae,accepted,H,N,5455,4061,1976,319,249,173,1394,>=1000,>=1000,>=1000,>=100,>=100,>=100
1327,3048315,Erysimum oleifolium J. Gay,Erysimum oleifolium,Erysimeae,accepted,H,N,64,6,1,1,0,0,58,>=10,<10,<10,<10,0,0
1311,3048275,Erysimum olympicum Boiss.,Erysimum olympicum,Erysimeae,accepted,H,N,67,4,1,0,0,0,63,>=10,<10,<10,0,0,0
2295,3053684,Erysimum orizabae (Schltr. & Cham.) Kuntze,Erysimum orizabae,Thelypodieae,not accepted,H,N,98,19,12,11,11,11,79,>=10,>=10,>=10,>=10,>=10,>=10
1303,3048254,Erysimum pachycarpum Hook.f. & Thomson,Erysimum pachycarpum,Erysimeae,accepted,H,N,26,1,0,0,0,0,25,>=10,<10,0,0,0,0
1294,3048233,Erysimum pallasii (Pursh) Fernald,Erysimum pallasii,Erysimeae,accepted,H,N,369,331,301,52,43,37,38,>=100,>=100,>=100,>=10,>=10,>=10
1285,3048213,Erysimum parnassi (Boiss. & Heldr.) Hausskn.,Erysimum parnassi,Erysimeae,accepted,H,N,28,13,0,0,0,0,15,>=10,>=10,0,0,0,0
1274,3048171,Erysimum pectinatum Bory & Chaub.,Erysimum pectinatum,Erysimeae,accepted,H,N,114,47,2,2,2,0,67,>=100,>=10,<10,<10,<10,0
1264,3048153,Erysimum penyalarense (Pau) Polatschek,Erysimum penyalarense,Erysimeae,accepted,H,N,53,20,7,2,0,0,33,>=10,>=10,<10,<10,0,0
1393,3048495,Erysimum perenne (S. Watson ex Coville) Abrams,Erysimum perenne,Erysimeae,accepted,H,N,1022,225,195,41,22,12,797,>=1000,>=100,>=100,>=10,>=10,>=10
1254,3048131,Erysimum perofskianum Fisch. & C.A. Mey.,Erysimum perofskianum,Erysimeae,accepted,H,Y,237,41,20,4,4,2,196,>=100,>=10,>=10,<10,<10,<10
1245,3048118,Erysimum persepolitanum Boiss.,Erysimum persepolitanum,Erysimeae,not accepted,H,N,39,13,5,0,0,0,26,>=10,>=10,<10,0,0,0
3828,10700744,Erysimum pignattii Peccenini & Polatschek,Erysimum pignattii,Erysimeae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
1236,3048103,Erysimum pirinicum Ančev & Polatschek,Erysimum pirinicum,Erysimeae,accepted,H,N,13,3,3,3,3,3,10,>=10,<10,<10,<10,<10,<10
3954,10876200,"Erysimum polatschekii Moazzeni, Assadi & Al-Shehbaz",Erysimum polatschekii,Erysimeae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
1438,3048650,Erysimum ponticum Hausskn. & Bornm.,Erysimum ponticum,Erysimeae,accepted,H,N,26,2,0,0,0,0,24,>=10,<10,0,0,0,0
1429,3048630,Erysimum popovii Rothm.,Erysimum popovii,Erysimeae,accepted,H,N,164,116,98,54,13,13,48,>=100,>=100,>=10,>=10,>=10,>=10
3810,10680726,Erysimum portugalense Polatschek,Erysimum portugalense,Erysimeae,accepted,H,N,12,2,0,0,0,0,10,>=10,<10,0,0,0,0
1422,3048619,Erysimum pseudoatticum Ančev & Polatschek,Erysimum pseudoatticum,Erysimeae,accepted,H,N,14,2,0,0,0,0,12,>=10,<10,0,0,0,0
1409,3048539,Erysimum pseudocuspidatum Polatschek,Erysimum pseudocuspidatum,Erysimeae,accepted,H,N,37,31,2,2,2,2,6,>=10,>=10,<10,<10,<10,<10
1401,3048526,Erysimum pseudopurpureum Polatschek,Erysimum pseudopurpureum,Erysimeae,accepted,H,N,14,2,0,0,0,0,12,>=10,<10,0,0,0,0
1378,3048451,Erysimum purpureum J. Gay,Erysimum purpureum,Erysimeae,accepted,H,N,65,20,13,13,6,6,45,>=10,>=10,>=10,>=10,<10,<10
1170,3047738,Erysimum pusillum Bory & Chaub.,Erysimum pusillum,Erysimeae,accepted,H,N,622,269,10,6,6,5,353,>=500,>=100,>=10,<10,<10,<10
3737,8418214,Erysimum pusillum subsp. atticum (Heldr. & Sart. ex Boiss.) P.W. Ball,Erysimum pusillum,Erysimeae,accepted,H,N,15,0,0,0,0,0,15,>=10,0,0,0,0,0
1291,3048226,Erysimum pycnophyllum J. Gay,Erysimum pycnophyllum,Erysimeae,accepted,H,N,97,5,0,0,0,0,92,>=10,<10,0,0,0,0
1339,3048340,Erysimum quadrangulum Desf.,Erysimum quadrangulum,Erysimeae,accepted,H,N,333,179,84,29,24,9,154,>=100,>=100,>=10,>=10,>=10,<10
3859,10746704,Erysimum raineri Polatschek,Erysimum raineri,Erysimeae,accepted,H,N,2,1,1,1,1,0,1,<10,<10,<10,<10,<10,0
1282,3048202,Erysimum raulinii Boiss.,Erysimum raulinii,Erysimeae,accepted,H,N,116,24,4,4,4,3,92,>=100,>=10,<10,<10,<10,<10
2449,3692294,Erysimum redowskii J.A. Weinm.,Erysimum redowskii,Erysimeae,not accepted,H,N,46,8,1,1,0,0,38,>=10,<10,<10,<10,0,0
1272,3048166,Erysimum repandum L.,Erysimum repandum,Erysimeae,accepted,H,N,4972,2680,1549,699,396,284,2292,>=1000,>=1000,>=1000,>=500,>=100,>=100
1261,3048140,Erysimum rhaeticum (Schleich. ex Hornem.) DC.,Erysimum rhaeticum,Erysimeae,accepted,H,N,3681,2319,1910,91,90,75,1362,>=1000,>=1000,>=1000,>=10,>=10,>=10
1242,3048112,Erysimum rhodium Snogerup,Erysimum rhodium,Erysimeae,accepted,W,Y,95,80,3,3,3,3,15,>=10,>=10,<10,<10,<10,<10
3719,8316253,"Erysimum riphaeanum Lorite, Abdelaziz, Muñoz-Pajares, Perfectti & J.M. Gómez",Erysimum riphaeanum,Erysimeae,accepted,H,N,13,0,0,0,0,0,13,>=10,0,0,0,0,0
2446,3692219,Erysimum rizeense Yıld.,Erysimum rizeense,Erysimeae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
1226,3048059,Erysimum roseum (Maxim.) Polatschek,Erysimum roseum,Erysimeae,accepted,H,N,74,50,5,0,0,0,24,>=10,>=10,<10,0,0,0
1230,3048073,Erysimum ruscinonense Jord.,Erysimum ruscinonense,Erysimeae,accepted,H,N,5580,5320,4720,105,58,57,260,>=1000,>=1000,>=1000,>=100,>=10,>=10
1446,3048669,Erysimum salangense Polatschek & Rech.f.,Erysimum salangense,Erysimeae,accepted,H,N,12,4,0,0,0,0,8,>=10,<10,0,0,0,0
1435,3048640,Erysimum samarkandicum Popov,Erysimum samarkandicum,Erysimeae,accepted,H,N,4,0,0,0,0,0,0,<10,0,0,0,0,0
1419,3048615,Erysimum schlagintweitianum O.E. Schulz,Erysimum schlagintweitianum,Erysimeae,accepted,H,N,8,4,0,0,0,0,4,<10,<10,0,0,0,0
1406,3048534,Erysimum scoparium (Brouss. ex Willd.) Wettst.,Erysimum scoparium,Erysimeae,accepted,W,Y,981,602,539,228,189,157,379,>=500,>=500,>=500,>=100,>=100,>=100
1280,3048186,Erysimum seipkae Polatschek,Erysimum seipkae,Erysimeae,accepted,H,N,1588,1340,1224,124,73,70,248,>=1000,>=1000,>=1000,>=100,>=10,>=10
1398,3048516,Erysimum semperflorens (Schousb.) Wettst.,Erysimum semperflorens,Erysimeae,accepted,H,N,209,20,6,4,2,1,189,>=100,>=10,<10,<10,<10,<10
1391,3048489,Erysimum senoneri (Heldr. & Sartori) Wettst.,Erysimum senoneri,Erysimeae,accepted,W,Y,313,249,14,12,12,12,64,>=100,>=100,>=10,>=10,>=10,>=10
2445,3692110,Erysimum serpentinicum Polatschek,Erysimum serpentinicum,Erysimeae,accepted,H,N,5,0,0,0,0,0,5,<10,0,0,0,0,0
1341,3048349,Erysimum siliculosum (M. Bieb.) DC.,Erysimum siliculosum,Erysimeae,accepted,H,N,207,66,40,9,5,1,141,>=100,>=10,>=10,<10,<10,<10
1333,3048326,Erysimum sintenisianum Bornm.,Erysimum sintenisianum,Erysimeae,accepted,H,N,51,7,0,0,0,0,44,>=10,<10,0,0,0,0
2444,3692048,Erysimum sivasicum Yıld.,Erysimum sivasicum,Erysimeae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
1317,3048287,Erysimum slavjankae Ančev & Polatschek,Erysimum slavjankae,Erysimeae,accepted,H,N,9,1,0,0,0,0,8,<10,<10,0,0,0,0
1299,3048250,Erysimum sorgerae Polatschek,Erysimum sorgerae,Erysimeae,accepted,H,N,9,2,0,0,0,0,7,<10,<10,0,0,0,0
2443,3692030,Erysimum spetae Polatschek,Erysimum spetae,Erysimeae,accepted,H,N,2,0,0,0,0,0,2,<10,0,0,0,0,0
1259,3048136,Erysimum stenophyllum Boiss. ex Polatschek,Erysimum stenophyllum,Erysimeae,accepted,H,N,7,1,0,0,0,0,6,<10,<10,0,0,0,0
1240,3048110,Erysimum strictisiliquum N. Busch,Erysimum strictisiliquum,Erysimeae,not accepted,H,N,1,0,0,0,0,0,1,<10,0,0,0,0,0
1453,3048686,"Erysimum strictum G. Gaertn., B. Mey. & Scherb.",Erysimum strictum,Erysimeae,accepted,H,N,7482,6964,5644,4224,2080,1443,518,>=1000,>=1000,>=1000,>=1000,>=1000,>=1000
1443,3048665,Erysimum substrigosum (Rupr.) N. Busch,Erysimum substrigosum,Erysimeae,accepted,H,N,36,13,9,5,5,4,23,>=10,>=10,<10,<10,<10,<10
1433,3048635,Erysimum subulatum J. Gay,Erysimum subulatum,Erysimeae,accepted,H,N,78,43,0,0,0,0,35,>=10,>=10,0,0,0,0
1425,3048622,Erysimum suffrutescens (Abrams) Rossbach,Erysimum suffrutescens,Erysimeae,accepted,H,N,359,49,34,0,0,0,310,>=100,>=10,>=10,0,0,0
1415,3048597,Erysimum sylvestre (Crantz) Scop.,Erysimum sylvestre,Erysimeae,accepted,H,Y,1191,699,555,284,246,142,492,>=1000,>=500,>=500,>=100,>=100,>=100
1380,3048454,Erysimum szowitsianum Boiss.,Erysimum szowitsianum,Erysimeae,accepted,H,N,47,18,3,3,0,0,29,>=10,>=10,<10,<10,0,0
1373,3048443,Erysimum talijevii (Klokov) Mosyakin,Erysimum talijevii,Erysimeae,accepted,H,N,29,29,26,25,0,0,0,>=10,>=10,>=10,>=10,0,0
1363,3048406,Erysimum tenellum DC.,Erysimum tenellum,Erysimeae,accepted,H,N,19,2,0,0,0,0,17,>=10,<10,0,0,0,0
3799,10670961,Erysimum teppneri Polatschek,Erysimum teppneri,Erysimeae,accepted,H,N,1,0,0,0,0,0,1,<10,0,0,0,0,0
1347,3048368,Erysimum teretifolium Eastw.,Erysimum teretifolium,Erysimeae,accepted,H,N,126,37,36,1,1,1,89,>=100,>=10,>=10,<10,<10,<10
1448,3048671,Erysimum tetovense Rohlena,Erysimum tetovense,Erysimeae,not accepted,H,N,13,12,9,7,7,0,1,>=10,>=10,<10,<10,<10,0
1337,3048338,Erysimum thomsonii Hook.f.,Erysimum thomsonii,Erysimeae,not accepted,H,N,4,2,2,0,0,0,2,<10,<10,<10,0,0,0
1329,3048322,Erysimum tianschanicum Polatschek,Erysimum tianschanicum,Erysimeae,not accepted,H,N,1,1,0,0,0,0,0,<10,<10,0,0,0,0
3552,7292695,Erysimum tuteliae subsp doganii Yıld.,Erysimum tuteliae,Erysimeae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
1296,3048243,Erysimum ucranicum J. Gay,Erysimum ucranicum,Erysimeae,accepted,H,N,83,55,26,23,7,6,28,>=10,>=10,>=10,>=10,<10,<10
1287,3048220,Erysimum uncinatifolium Boiss. & A. Huet,Erysimum uncinatifolium,Erysimeae,accepted,H,N,64,19,1,1,1,0,45,>=10,>=10,<10,<10,<10,0
1275,3048172,Erysimum vassilczenkoi Polatschek,Erysimum vassilczenkoi,Erysimeae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
1266,3048157,Erysimum verrucosum Boiss. & Gaill.,Erysimum verrucosum,Erysimeae,not accepted,H,N,24,14,12,5,0,0,10,>=10,>=10,>=10,<10,0,0
1256,3048133,Erysimum violascens Popov,Erysimum violascens,Erysimeae,accepted,H,N,26,4,0,0,0,0,22,>=10,<10,0,0,0,0
1450,3048674,Erysimum virgatum Roth,Erysimum virgatum,Erysimeae,accepted,H,Y,5996,5157,4281,1416,1115,904,839,>=1000,>=1000,>=1000,>=1000,>=1000,>=500
3902,10806475,Erysimum vitekii Polatschek,Erysimum vitekii,Erysimeae,accepted,H,N,33,4,0,0,0,0,29,>=10,<10,0,0,0,0
