,speciesKey,name_author,Name,Tribe,BrassiBase_status,Trait_state,Sampled?,gbif_records,gbif_records_w_coordinates,gbif_records_w_coordinates_and_uncertainty,gbif_records_w_coordinates_and_uncertainty_under_1000m,gbif_records_w_coordinates_and_uncertainty_under_500m,gbif_records_w_coordinates_and_uncertainty_under_100m,gbif_records_wo_coordinates_but_w_locality,gbif_records_bin,gbif_records_w_coordinates_bin,gbif_records_w_coordinates_and_uncertainty_bin,gbif_records_w_coordinates_and_uncertainty_under_1000m_bin,gbif_records_w_coordinates_and_uncertainty_under_500m_bin,gbif_records_w_coordinates_and_uncertainty_under_100m_bin
2056,3051087,Aethionema lycium I.A. Andersson & al.,Aethionema lycium,Aethionemeae,accepted,H,Y,0,0,0,0,0,0,0,0,0,0,0,0,0
2079,3051163,Aethionema maraschicum P.H. Davis,Aethionema maraschicum,Aethionemeae,accepted,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0
2062,3051113,Aethionema monospermum W.T. Aiton,Aethionema monospermum,Aethionemeae,not accepted,H,N,16,15,15,4,1,0,1,>=10,>=10,>=10,<10,<10,0
2036,3051047,Aethionema munzurense P.H. Davis & Yıld.,Aethionema munzurense,Aethionemeae,accepted,W,Y,3,0,0,0,0,0,3,<10,0,0,0,0,0
2071,3051136,Aethionema orbiculatum (Boiss.) Hayek,Aethionema orbiculatum,Aethionemeae,accepted,W,Y,33,2,0,0,0,0,31,>=10,<10,0,0,0,0
2044,3051062,Aethionema paphlagonicum Czeczott & Beauverd,Aethionema paphlagonicum,Aethionemeae,not accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
2076,3051157,Aethionema papillosum P.H. Davis,Aethionema papillosum,Aethionemeae,accepted,H,N,2,0,0,0,0,0,2,<10,0,0,0,0,0
2059,3051090,Aethionema polygaloides DC.,Aethionema polygaloides,Aethionemeae,not accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
2034,3051041,Aethionema retsina Phitos & Snogerup,Aethionema retsina,Aethionemeae,accepted,H,Y,15,12,1,0,0,0,3,>=10,>=10,<10,0,0,0
2067,3051128,Aethionema rhodopaeum D. Pavlova,Aethionema rhodopaeum,Aethionemeae,accepted,H,N,5,0,0,0,0,0,0,<10,0,0,0,0,0
2051,3051073,Aethionema rotundifolium (C.A. Mey.) Boiss.,Aethionema rotundifolium,Coluteocarpeae,not accepted,H,N,49,28,17,7,7,2,21,>=10,>=10,>=10,<10,<10,<10
3685,8143543,Aethionema sabzevaricum Khosravi & Joharchi,Aethionema sabzevaricum,#N/A,#N/A,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
